State,July,December
Alabama,49803,111702
Arkansas,21734,67779
Arizona,94795,193390
California,270671,1032411
Colorado,14094,101192
Connecticut,3296,68413
Delaware,3367,21721
Florida,315249,317158
Georgia,109057,194889
Iowa,15635,51221
Idaho,14604,39379
Illinois,35880,237085
Indiana,20560,172508
Kansas,13369,64987
Kentucky,14527,86221
Louisiana,58185,82861
Massachusetts,8730,141116
Maryland,21447,79084
Maine,643,12225
Michigan,19846,139679
Minnesota,18472,96539
Missouri,28772,92808
Mississippi,31981,63975
Montana,2947,19357
North_Carolina,58344,175033
North_Dakota,3026,13115
Nebraska,7034,38391
New_Hampshire,801,23034
New_Jersey,9993,160001
New_Mexico,8453,45769
Nevada,29628,72562
New_York,21339,329359
Ohio,39370,279317
Oklahoma,25888,96149
Oregon,9837,38478
Pennsylvania,25694,278847
Rhode_Island,2209,31226
South_Carolina,52617,90020
South_Dakota,2000,18700
Tennessee,62450,212309
Texas,260960,477740
Utah,18051,80906
Virginia,28014,114703
Vermont,206,3240
Washington,22979,81733
Wisconsin,25272,108708
West_Virginia,3737,37492
Wyoming,1239,11104
